title,vote_average,vote_count,release_date,revenue,runtime,adult,budget,original_language,original_title,popularity,genres,production_companies,production_countries,spoken_languages,keywords
Don Juan DeMarco,6.679,682,1994-10-12,68792531,97,False,25000000,en,Don Juan DeMarco,15.343,"Romance, Drama, Comedy","American Zoetrope, New Line Cinema, Juno Pix, Outlaw Productions",United States of America,English,"sex addiction, love, mental institution, patient, psychiatrist, don juan"
Everything Is Illuminated,7.237,681,2005-09-05,3601974,106,False,7000000,en,Everything Is Illuminated,10.657,"Comedy, Drama","Stillking Films, Warner Independent Pictures (WIP), Telegraph Films, Big Beach",United States of America,"English, Russian, Ukrainian","blindness and impaired vision, nazi, grandparent grandchild relationship, mass murder, pop culture, journey in the past, souvenir, collector, anti-semitism, photograph, closeted homosexual, gay theme, ukraine"
Going the Distance,6.1,681,2010-08-27,42045846,102,False,32000000,en,Going the Distance,11.017,"Comedy, Drama, Romance","New Line Cinema, Offspring Entertainment",United States of America,English,"new york city, newspaper, airplane, waitress, san francisco, california, writer, masturbation, phone sex, text messaging, intern, long distance relationship, woman director, record company, skype"
Peeping Tom,7.447,681,1960-05-16,83957,101,False,150000,en,Peeping Tom,13.917,"Horror, Thriller, Drama","Michael Powell (Theatre), Anglo-Amalgamated",United Kingdom,English,"photography, cinematographer, illegal prostitution, voyeurism, proto-slasher"
The Paperboy,5.547,681,2012-09-14,1353868,107,False,12500000,en,The Paperboy,14.628,"Thriller, Drama, Mystery","Lee Daniels Entertainment, Nu Image, Benaroya Pictures, Millennium Media",United States of America,English,"prison, florida, death row, everglades, swamp, reporter, newspaper man, pantyhose, lgbt, 1960s"
Lions for Lambs,6.021,681,2007-10-22,64811540,92,False,35000000,en,Lions for Lambs,13.499,"Action, Adventure, Drama, History","Cruise/Wagner Productions, United Artists, Wildwood Enterprises, Andell Entertainment, Brat Na Pont Productions, Metro-Goldwyn-Mayer",United States of America,English,"future, journalist, propaganda, war on terror, externally controlled action, manipulation, manipulation of the media, afghanistan, political negotiations, past, afghanistan war (2001- ), terrorism"
Anonymous,6.4,681,2011-10-21,15395087,130,False,30000000,en,Anonymous,10.696,"Drama, History, Thriller","Centropolis Entertainment, Columbia Pictures, Relativity Media, Studio Babelsberg","Germany, United Kingdom, United States of America",English,"anonymity, politics, poet, duringcreditsstinger, false history, 16th century, secrecy"
Priceless,6.38,681,2006-12-13,28041861,104,False,10000000,fr,Hors de prix,10.226,"Drama, Comedy, Romance","France 2 Cinéma, France 3 Cinéma, Atlan Films, Région Provence-Alpes-Côte d'Azur, Wild Bunch, TPS Star, Canal+, KS2 Productions, Tovo Films, Les Films Pelléas, CNC",France,"English, French","france, broken engagement, greed, gigolo, bartender, engagement, beautiful  woman, waiter, luxury hotel, fortune hunter"
One Cut of the Dead,7.639,680,2017-11-04,27590180,96,False,52406,ja,カメラを止めるな！,14.95,"Comedy, Horror","Panpokopina, ENBU Seminar",Japan,Japanese,"film in film, zombie, filmmaking, film shoot"
The Keeper of Lost Causes,7.1,680,2013-10-03,13656380,93,False,5649897,da,Kvinden i buret,16.048,"Thriller, Mystery, Crime","Zentropa Entertainments, Film i Väst, TV 2, ZDF, TV 2, ZDF Enterprises","Denmark, Germany, Norway, Sweden","Danish, Swedish","based on novel or book, denmark, sweden, disappearance, co-workers relationship, female politician, mentally handicapped man, nordic noir, cold case, brother sister relationship, afdeling q"
Cat on a Hot Tin Roof,7.644,679,1958-08-29,17570324,108,False,3000000,en,Cat on a Hot Tin Roof,12.005,Drama,"Avon Productions, Metro-Goldwyn-Mayer",United States of America,English,"dying and death, depression, individual, suicide, jealousy, husband wife relationship, southern usa, mississippi river, plantation, patriarch, based on play or musical, inheritance, sibling rivalry, brother against brother, alcoholic, dying father, family conflicts, father son conflict, southern gothic, star athlete, homosexual subtext, cotton plantation, mississippi"
The Party,7.277,679,1968-04-04,2900000,99,False,1500000,en,The Party,14.968,Comedy,The Mirisch Company,United States of America,English,"movie business, misunderstanding, filmmaking, clumsy, indian"
Wish I Was Here,6.549,678,2014-07-18,5483299,107,False,5500000,en,Wish I Was Here,8.71,"Drama, Comedy","Wild Bunch, Worldview Entertainment, Double Feature Films",United States of America,English,"homeschooling, family, struggling actor"
Judgment at Nuremberg,8.053,678,1961-12-18,10000000,179,False,3000000,en,Judgment at Nuremberg,22.164,Drama,"United Artists, Roxlom Films",United States of America,"English, German","right and justice, nazi, court case, judge, concentration camp, world war ii, national socialism, national socialist party, nuremberg trials, trial, nuremberg, germany, courtroom drama"
Whiteout,5.555,677,2009-09-09,17976667,101,False,40000000,en,Whiteout,14.962,"Action, Crime, Mystery, Thriller","Dark Castle Entertainment, Warner Bros. Pictures",United States of America,"English, Russian","airplane, detective, investigation, based on comic, corpse, stich"
"Ruby Gillman, Teenage Kraken",7.474,677,2023-06-28,43716515,91,False,70000000,en,"Ruby Gillman, Teenage Kraken",321.777,"Animation, Family, Fantasy, Comedy","Universal Pictures, DreamWorks Animation, dentsu",United States of America,English,"high school, ocean, boat, transformation, fisherman, mermaid, coming of age, prom, female protagonist, kraken, female villain, coastal town, fitting in, trident, 3d animation, teenager, animation"
Alex Cross,5.189,676,2012-10-18,30353232,101,False,45000000,en,Alex Cross,11.238,"Action, Thriller, Crime, Mystery",Summit Entertainment,United States of America,"English, German","based on novel or book, pain, prequel, torture, detroit, michigan, psychotic, childhood friends, pregnant wife, police psychologist, multiple murder, contract killer, homicide detective, ex military, sadistic psychopath, twisted, personal, married with children, suspense thriller, paralyzing drug"
Clash of the Titans,6.857,676,1981-06-12,41092328,118,False,12000000,en,Clash of the Titans,23.604,"Action, Adventure, Fantasy, Romance","Peerford Ltd., Metro-Goldwyn-Mayer, Charles H. Schneer Productions",United States of America,"Spanish, English, Portuguese","witch, octopus, riddle, mythology, greek mythology, pegasus, zeus, giant bird, medusa, seagull, poseidon, sea monster, perseus, kraken, gods, ancient greece, folklore, based on myths, legends or folklore, hera, vulture, vindictive, owl, epic fantasy"
City Slickers,6.423,676,1991-06-07,179033791,114,False,27000000,en,City Slickers,17.889,"Comedy, Western","Castle Rock Entertainment, Nelson Entertainment, Face Productions",United States of America,English,"stetson, vacation, cattle drive, prairie, fish out of water, the west, mid-life crisis"
Old Dogs,5.493,675,2009-11-24,96753696,88,False,35000000,en,Old Dogs,16.326,"Comedy, Family","Walt Disney Pictures, Tapestry Films",United States of America,"English, Ukrainian","camp, best friend, co-workers relationship, duringcreditsstinger, sports marketing firm"
The Howling,6.564,675,1981-01-21,17985893,91,False,1000000,en,The Howling,19.573,Horror,"AVCO Embassy Pictures, International Film Investors, Wescom Productions",United States of America,English,"adultery, based on novel or book, shapeshifting, secret society, woods, murder, serial killer, cabin, werewolf, psychiatrist, hunting, newswoman"
French Fried Vacation 3: Friends Forever,4.06,675,2006-02-01,84,95,False,35,fr,Les Bronzés 3 : Amis pour la vie,6.287,Comedy,"Les Films Christian Fechner, TPS Cinéma, TF1 Films Production",France,"English, French, Italian","holiday, sardinia, italy, sequel, reunion, luxury hotel"
Snow Dogs,5.624,675,2002-01-18,81000000,99,False,35000000,en,Snow Dogs,12.064,"Comedy, Family, Adventure","Walt Disney Pictures, Kerner Entertainment Company, Galapagos Productions, Winterdance Productions Ltd.","Canada, United States of America",English,"based on novel or book, adoption, husky, log cabin, dog-sledding race, alaska, fish out of water, dog, sled dogs, father son relationship, mother son relationship"
Dave,6.662,674,1993-05-07,92000000,110,False,28000000,en,Dave,13.425,Comedy,"Donner/Shuler-Donner Productions, Northern Lights Entertainment, Warner Bros. Pictures",United States of America,"Spanish, English","coma, usa president, the white house, apoplectic stroke, doppelgänger, corgi"
Stay Alive,5.829,674,2006-03-24,27105095,85,False,9000000,en,Stay Alive,16.473,"Horror, Thriller","Spyglass Entertainment, Wonderland Sound and Vision, Hollywood Pictures",United States of America,English,"hacker, video game, virtual reality, virtual fight, baroness"
House of Sand and Fog,7.144,674,2003-12-19,16942795,126,False,16500000,en,House of Sand and Fog,15.178,Drama,"Bisgrove Entertainment, Cobalt Media Group, DreamWorks Pictures",United States of America,"English, Italian, Persian","depression, immigrant, san francisco, california, house, tragedy, intimidation, bungalow"
The Arrival,5.995,673,1996-05-31,14063331,115,False,25000000,en,The Arrival,14.155,"Science Fiction, Thriller","Live Entertainment, Steelwork Films, Mediaworks","Mexico, United States of America","English, French","greenhouse effect, global warming, extraterrestrial, astronomer, conspiracy, scientist, alien invasion, foot chase, desert, climatologist, observatory, alien language, golf club, volkswagen beetle, liquid nitrogen, screwdriver, cosmic zoom, radio telescope, satellite dish"
Ricki and the Flash,5.79,673,2015-07-10,41325328,100,False,18000000,en,Ricki and the Flash,9.179,"Comedy, Drama, Music","LStar Capital, Clinica Estetico, TriStar Pictures",United States of America,English,"rock star, homophobia, aging, family relationships, divorce, estranged"
Father There Is Only One,7.682,673,2019-08-02,15894372,95,False,3400000,es,Padre no hay más que uno,23.985,Comedy,"Bowfinger, MAMA SE FUE DE VIAJE LA PELICULA, A.I.E., Sony Pictures International Productions",Spain,Spanish,"comedian, family"
Terms of Endearment,7.093,672,1983-11-20,108423749,132,False,8000000,en,Terms of Endearment,14.578,"Drama, Comedy",Paramount,United States of America,English,"based on novel or book, parent child relationship, loss of loved one, texas, cancer, astronaut, single mother, neighbor neighbor relationship, narcissistic mother"
The Railway Man,6.86,672,2013-12-02,24174885,116,False,18000000,en,The Railway Man,16.992,"Drama, History","Archer Street Productions, Pictures in Paradise, Latitude Media, Thai Occidental Productions, Silver Reel, Lionsgate","Australia, Switzerland, United Kingdom",English,"post-traumatic stress disorder (ptsd), world war ii, victim, redemption, based on true story, autobiography, revenge, torture"
OSS 117: From Africa with Love,5.635,672,2021-08-04,13450000,117,False,20400000,fr,OSS 117 : Alerte rouge en Afrique noire,9.936,"Comedy, Adventure, Action","Gaumont, Mandarin Production, M6 Films, SCOPE Pictures",France,"German, French",
Rock Star,6.712,672,2001-09-04,19334145,105,False,57000000,en,Rock Star,12.868,"Music, Drama, Comedy","Metal Productions Inc., Bel Air Entertainment, Maysville Pictures, Robert Lawrence Productions, Warner Bros. Pictures",United States of America,English,"rock star, success, heavy metal, relationship problems"
Upstream Color,6.368,671,2013-04-05,444098,96,False,100000,en,Upstream Color,13.017,"Drama, Science Fiction",erbp,United States of America,English,"hope, sadness, hypnosis, loss, romance, drugged, parasite"
Rising Sun,6.132,671,1993-07-30,107198790,125,False,40000000,en,Rising Sun,15.117,"Action, Drama, Thriller","Walrus & Associates, 20th Century Fox",United States of America,"Japanese, English","journalist, corruption, based on novel or book, police, detective, wheelchair, restaurant, parking garage, cover-up, murder, seppuku, bulletproof vest, crime investigation, falsification, cover-up attempt, homicide investigation, cover up, japanese culture"
Hang 'em High,6.835,671,1968-07-31,6800000,114,False,1800000,en,Hang 'em High,24.201,Western,"United Artists, Malpaso Productions, Leonard Freeman Production",United States of America,English,"prison, death penalty, judge, widow, marshal, oklahoma, cattle drive, hanging, law man, lynching, search party"
The Boondock Saints II: All Saints Day,5.981,671,2009-11-24,10629321,118,False,8000000,en,The Boondock Saints II: All Saints Day,17.291,"Action, Thriller, Crime","Stage 6 Films, Chris Brinker Productions",United States of America,"English, Italian, Spanish","friendship, sheep, boston, massachusetts, sequel, revenge, ireland"
The Kid Who Would Be King,6.114,670,2019-01-16,32140970,120,False,59000000,en,The Kid Who Would Be King,15.841,"Action, Adventure, Fantasy, Family","Working Title Films, Big Talk Productions, TSG Entertainment, 20th Century Fox",United Kingdom,English,"epic, magic, sword, menace, cornwall, england, knight, medieval, enchantress, evil woman, excalibur, stonehenge, quest, led zeppelin"
